fichier;T1_conduite;T1_probabilite;T1_label;T2_largeur_m;T3_couverture;T3_probabilite;T3_label;T4_parallel;T4_probabilite;T4_label
real_data_00000.npz;1;1.0;Conduite détectée;19.64;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00001.npz;1;1.0;Conduite détectée;11.68;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00002.npz;1;1.0;Conduite détectée;17.42;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00003.npz;1;1.0;Conduite détectée;14.67;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00004.npz;1;1.0;Conduite détectée;18.22;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00005.npz;1;1.0;Conduite détectée;21.51;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00006.npz;1;1.0;Conduite détectée;16.9;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00007.npz;1;1.0;Conduite détectée;14.19;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00008.npz;1;1.0;Conduite détectée;8.4;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00009.npz;1;1.0;Conduite détectée;12.75;1.0;1.0;Couverture suffisante;1.0;0.987;Conduites parallèles
real_data_00010.npz;1;1.0;Conduite détectée;22.3;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00011.npz;1;1.0;Conduite détectée;12.88;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00012.npz;1;1.0;Conduite détectée;22.94;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00013.npz;1;1.0;Conduite détectée;29.28;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00014.npz;1;1.0;Conduite détectée;17.33;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00015.npz;1;1.0;Conduite détectée;13.41;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00016.npz;1;1.0;Conduite détectée;60.83;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00017.npz;1;1.0;Conduite détectée;16.83;1.0;1.0;Couverture suffisante;0.0;0.0001;Conduite simple
real_data_00018.npz;1;1.0;Conduite détectée;24.38;1.0;1.0;Couverture suffisante;1.0;0.9773;Conduites parallèles
real_data_00019.npz;1;1.0;Conduite détectée;27.15;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00020.npz;1;1.0;Conduite détectée;15.2;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00021.npz;1;1.0;Conduite détectée;20.5;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00022.npz;1;1.0;Conduite détectée;22.18;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00023.npz;1;1.0;Conduite détectée;27.17;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00024.npz;1;1.0;Conduite détectée;28.66;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00025.npz;1;1.0;Conduite détectée;103.26;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00026.npz;1;0.7665;Conduite détectée;39.33;1.0;1.0;Couverture suffisante;1.0;0.8725;Conduites parallèles
real_data_00027.npz;1;1.0;Conduite détectée;41.36;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00028.npz;1;1.0;Conduite détectée;10.89;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00029.npz;1;1.0;Conduite détectée;22.89;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00030.npz;1;1.0;Conduite détectée;30.89;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00031.npz;1;1.0;Conduite détectée;42.9;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00032.npz;1;1.0;Conduite détectée;19.9;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00033.npz;1;1.0;Conduite détectée;22.24;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00034.npz;1;1.0;Conduite détectée;9.37;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00035.npz;1;1.0;Conduite détectée;17.31;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00036.npz;1;1.0;Conduite détectée;10.42;1.0;1.0;Couverture suffisante;1.0;0.9545;Conduites parallèles
real_data_00037.npz;1;1.0;Conduite détectée;9.94;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00038.npz;1;1.0;Conduite détectée;11.99;1.0;1.0;Couverture suffisante;1.0;0.9156;Conduites parallèles
real_data_00039.npz;1;1.0;Conduite détectée;29.9;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00040.npz;1;1.0;Conduite détectée;11.87;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00041.npz;1;1.0;Conduite détectée;17.48;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00042.npz;1;1.0;Conduite détectée;23.15;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00043.npz;1;1.0;Conduite détectée;28.32;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00044.npz;1;1.0;Conduite détectée;20.35;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00045.npz;1;1.0;Conduite détectée;23.73;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00046.npz;1;1.0;Conduite détectée;8.53;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00047.npz;1;1.0;Conduite détectée;21.44;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00048.npz;1;1.0;Conduite détectée;22.55;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_00049.npz;1;1.0;Conduite détectée;13.15;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_00050.npz;1;1.0;Conduite détectée;11.0;1.0;1.0;Couverture suffisante;1.0;1.0;Conduites parallèles
real_data_no_pipe_00000.npz;0;0.0;Aucune conduite;10.65;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00001.npz;0;0.0;Aucune conduite;19.42;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00002.npz;0;0.0;Aucune conduite;25.91;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00003.npz;0;0.0;Aucune conduite;16.69;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00004.npz;0;0.0;Aucune conduite;42.63;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00005.npz;0;0.0;Aucune conduite;14.85;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00006.npz;0;0.0;Aucune conduite;27.0;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00007.npz;0;0.0;Aucune conduite;14.15;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00008.npz;0;0.3808;Aucune conduite;22.43;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00009.npz;0;0.0;Aucune conduite;17.49;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00010.npz;0;0.0;Aucune conduite;11.38;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00011.npz;0;0.0;Aucune conduite;13.06;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00012.npz;0;0.3873;Aucune conduite;30.98;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00013.npz;0;0.0;Aucune conduite;41.28;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00014.npz;0;0.0;Aucune conduite;10.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00015.npz;0;0.0;Aucune conduite;24.09;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00016.npz;0;0.0;Aucune conduite;19.18;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00017.npz;1;0.7474;Conduite détectée;28.55;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00018.npz;0;0.0;Aucune conduite;25.82;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00019.npz;0;0.0;Aucune conduite;14.82;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00020.npz;0;0.0;Aucune conduite;9.0;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00021.npz;0;0.0;Aucune conduite;20.43;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00022.npz;1;0.6218;Conduite détectée;22.95;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00023.npz;0;0.0;Aucune conduite;103.7;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00024.npz;0;0.0;Aucune conduite;29.72;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00025.npz;1;0.7171;Conduite détectée;32.36;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00026.npz;0;0.0;Aucune conduite;19.31;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00027.npz;0;0.0;Aucune conduite;24.85;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00028.npz;0;0.0;Aucune conduite;16.3;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00029.npz;0;0.0;Aucune conduite;11.41;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00030.npz;0;0.0;Aucune conduite;21.99;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00031.npz;0;0.0;Aucune conduite;25.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00032.npz;0;0.0;Aucune conduite;38.34;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00033.npz;0;0.0;Aucune conduite;60.86;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00034.npz;0;0.0;Aucune conduite;10.29;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00035.npz;0;0.3397;Aucune conduite;21.34;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00036.npz;0;0.0;Aucune conduite;24.76;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00037.npz;0;0.0;Aucune conduite;14.75;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00038.npz;0;0.0;Aucune conduite;26.5;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00039.npz;0;0.0;Aucune conduite;31.65;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00040.npz;0;0.0;Aucune conduite;24.31;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00041.npz;0;0.0;Aucune conduite;12.14;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00042.npz;0;0.0;Aucune conduite;8.86;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00043.npz;0;0.0;Aucune conduite;29.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00044.npz;0;0.0;Aucune conduite;12.62;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00045.npz;0;0.0;Aucune conduite;25.27;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00046.npz;0;0.0;Aucune conduite;30.32;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00047.npz;0;0.0;Aucune conduite;13.81;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00048.npz;1;0.7127;Conduite détectée;24.87;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00049.npz;0;0.0;Aucune conduite;20.16;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00050.npz;0;0.0;Aucune conduite;24.53;;;N/A (aucune conduite);;;N/A (aucune conduite)
